Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-02,Emma Kask,TVSK,Recurve,U18,Women,2x18m,80cm,590,Noorte Talvekarikas 2025
2025-08-02,Miia Kerde,SAG,Compound,U15,Men,2x15m,80cm,588,Noorte Talvekarikas 2025
2025-08-02,Keron Saulus,TLVK,Recurve,U18,Men,2x18m,80cm,571,Noorte Talvekarikas 2025
2025-08-02,Marten Suits,SAG,Recurve,U18,Men,2x18m,80cm,569,Noorte Talvekarikas 2025
2025-08-02,Kaarel Pillart,SAG,Recurve,U18,Men,2x18m,80cm,567,Noorte Talvekarikas 2025
2025-08-02,Karita Uuselu,SAG,Recurve,U13,Men,2x15m,80cm,566,Noorte Talvekarikas 2025
2025-08-02,Vanessa Vagul,TVSK,Compound,U15,Men,2x15m,80cm,564,Noorte Talvekarikas 2025
2025-08-02,Eron Mikku,SAG,Compound,U15,Men,2x15m,80cm,553,Noorte Talvekarikas 2025
2025-08-02,Liise Rätsep,SAG,Recurve,U18,Women,2x18m,80cm,552,Noorte Talvekarikas 2025
2025-08-02,Krent Kaasik,TVSK,Recurve,U15,Men,2x15m,80cm,548,Noorte Talvekarikas 2025
2025-08-02,Marten Soovik,JVI,Recurve,U13,Men,2x15m,80cm,546,Noorte Talvekarikas 2025
2025-08-02,Ekaterina Novikova,STR,Recurve,U15,Men,2x15m,80cm,536,Noorte Talvekarikas 2025
2025-08-02,Theresa Noor,TLVK,Barebow,U15,Men,2x15m,122cm,528,Noorte Talvekarikas 2025
2025-08-02,Ratmir Babitšev,STR,Barebow,U13,Men,2x15m,122cm,524,Noorte Talvekarikas 2025
2025-08-02,Anne Sein,SAG,Recurve,U21,Men,2x18m,40cm,520,Noorte Talvekarikas 2025
2025-08-02,Veleia Ovsianytska,STR,Recurve,U18,Women,2x18m,80cm,520,Noorte Talvekarikas 2025
2025-08-02,Elisabeth Dederer,JVI,Recurve,U13,Men,2x15m,80cm,519,Noorte Talvekarikas 2025
2025-08-02,Jette Martinfeld,MAG,Compound,U15,Men,2x15m,80cm,516,Noorte Talvekarikas 2025
2025-08-02,Rao Lõpp,TVSK,Barebow,U18,Men,2x18m,80cm,513,Noorte Talvekarikas 2025
2025-08-02,Simona Jermann,SAG,Barebow,U18,Men,2x18m,80cm,509,Noorte Talvekarikas 2025
2025-08-02,Joonatan Valk,TVSK,Barebow,U18,Men,2x18m,80cm,507,Noorte Talvekarikas 2025
2025-08-02,Aleksandr Tatarlõ,TLVK,Barebow,U13,Men,2x15m,122cm,507,Noorte Talvekarikas 2025
2025-08-02,Paul Hanni,SAG,Compound,U21,Men,2x18m,40cm,506,Noorte Talvekarikas 2025
2025-08-02,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,497,Noorte Talvekarikas 2025
2025-08-02,Eleri Jaaniste,SAG,Recurve,U18,Women,2x18m,80cm,493,Noorte Talvekarikas 2025
2025-08-02,Rasmus Sibrits,VVK,Barebow,U18,Men,2x18m,80cm,486,Noorte Talvekarikas 2025
2025-08-02,Aliaksandra Petrushenka,STR,Barebow,U18,Men,2x18m,80cm,475,Noorte Talvekarikas 2025
2025-08-02,Rasmus Lõpp,TVSK,Recurve,U21,Men,2x18m,40cm,474,Noorte Talvekarikas 2025
