Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-03-23,Gregor Oriehov,SVK,Compound,U15,Men,2x15m,80cm,600,Eesti sisemeistrivõistlused 2025
2025-03-23,Robin Jäätma,TYRI,Compound,Adult,Men,2x18m,40cm,595,Eesti sisemeistrivõistlused 2025
2025-03-23,Emma Kask,TVSK,Recurve,U18,Women,2x18m,80cm,592,Eesti sisemeistrivõistlused 2025
2025-03-23,Miia Kerde,SAG,Compound,U15,Women,2x15m,80cm,591,Eesti sisemeistrivõistlused 2025
2025-03-23,Vanessa Vagul,TVSK,Compound,U13,Women,2x15m,80cm,588,Eesti sisemeistrivõistlused 2025
2025-03-23,Marten Suits,SAG,Recurve,U18,Men,2x18m,80cm,585,Eesti sisemeistrivõistlused 2025
2025-03-23,Ingrid Annelore Ritval,VVVK,Recurve,U18,Women,2x18m,80cm,585,Eesti sisemeistrivõistlused 2025
2025-03-23,Meeri-Marita Paas,SAG,Compound,Adult,Women,2x18m,40cm,583,Eesti sisemeistrivõistlused 2025
2025-03-23,Lisell Jäätma,TYRI,Compound,Adult,Women,2x18m,40cm,583,Eesti sisemeistrivõistlused 2025
2025-03-23,Mait Sirel,PVM,Compound,U18,Men,2x18m,40cm,583,Eesti sisemeistrivõistlused 2025
2025-03-23,Jarko Märs,TVSK,Compound,U18,Men,2x18m,40cm,583,Eesti sisemeistrivõistlused 2025
2025-03-23,Triinu Luukas,TYRI,Compound,U15,Women,2x15m,80cm,582,Eesti sisemeistrivõistlused 2025
2025-03-23,Maria-Liisa Mättas,TYRI,Compound,U15,Women,2x15m,80cm,579,Eesti sisemeistrivõistlused 2025
2025-03-23,Ander Sepp,TVSK,Recurve,U18,Men,2x18m,80cm,578,Eesti sisemeistrivõistlused 2025
2025-03-23,Lisette Marie Gold,JVI,Recurve,U18,Women,2x18m,80cm,577,Eesti sisemeistrivõistlused 2025
2025-03-23,Lisete Laureen Lepik,VVVK,Recurve,U15,Women,2x15m,80cm,577,Eesti sisemeistrivõistlused 2025
2025-03-23,Karl-Eric Fatal,TYRI,Compound,U18,Men,2x18m,40cm,577,Eesti sisemeistrivõistlused 2025
2025-03-23,Mattias Saadla,TVSK,Recurve,U18,Men,2x18m,80cm,576,Eesti sisemeistrivõistlused 2025
2025-03-23,Evert Ressar,BH,Compound,Adult,Men,2x18m,40cm,576,Eesti sisemeistrivõistlused 2025
2025-03-23,Lumili Laur,TYRI,Compound,U15,Women,2x15m,80cm,576,Eesti sisemeistrivõistlused 2025
2025-03-23,Karl Märten Aren,TYRI,Compound,U13,Men,2x15m,80cm,576,Eesti sisemeistrivõistlused 2025
2025-03-23,Liise Rätsep,SAG,Recurve,U18,Women,2x18m,80cm,575,Eesti sisemeistrivõistlused 2025
2025-03-23,Karoline Kivilo,JVI,Recurve,U15,Women,2x15m,80cm,575,Eesti sisemeistrivõistlused 2025
2025-03-23,Kaarel Pillart,SAG,Recurve,U18,Men,2x18m,80cm,573,Eesti sisemeistrivõistlused 2025
2025-03-23,Aksel Tähepõld,SAG,Compound,U21,Men,2x18m,40cm,571,Eesti sisemeistrivõistlused 2025
2025-03-23,Mattias Kraav,JVI,Recurve,U13,Men,2x15m,80cm,569,Eesti sisemeistrivõistlused 2025
2025-03-23,Mikk Mihkelson,JVI,Recurve,U18,Men,2x18m,80cm,567,Eesti sisemeistrivõistlused 2025
2025-03-23,Egert Pähkel,PVM,Recurve,U18,Men,2x18m,80cm,567,Eesti sisemeistrivõistlused 2025
2025-03-23,Mait Sirel,PVM,Compound,U18,Men,2x18m,40cm,567,Eesti sisemeistrivõistlused 2025
2025-03-23,Kaisa Kraav,JVI,Recurve,U15,Women,2x15m,80cm,566,Eesti sisemeistrivõistlused 2025
2025-03-23,Kristo Kent,KSK,Compound,Adult,Men,2x18m,40cm,566,Eesti sisemeistrivõistlused 2025
2025-03-23,Ardo Ojamets,PVM,Recurve,U18,Men,2x18m,80cm,565,Eesti sisemeistrivõistlused 2025
2025-03-23,Lovisa Lember,VVVK,Recurve,U13,Women,2x15m,80cm,565,Eesti sisemeistrivõistlused 2025
2025-03-23,Viktor Lutška,KSK,Compound,Adult,Men,2x18m,40cm,565,Eesti sisemeistrivõistlused 2025
2025-03-23,Helena Linder,TYRI,Compound,U13,Women,2x15m,80cm,565,Eesti sisemeistrivõistlused 2025
2025-03-23,Ain Markus Välja,JVI,Recurve,U13,Men,2x15m,80cm,564,Eesti sisemeistrivõistlused 2025
2025-03-23,Kristjan Ilves,TYRI,Compound,Adult,Men,2x18m,40cm,564,Eesti sisemeistrivõistlused 2025
2025-03-23,Gert-Rayder Pening,LVL,Compound,U13,Men,2x15m,80cm,563,Eesti sisemeistrivõistlused 2025
2025-03-23,Kait Soesoo,VVVK,Recurve,Adult,Men,2x18m,40cm,561,Eesti sisemeistrivõistlused 2025
2025-03-23,Emma Kask,TVSK,Recurve,U18,Women,2x18m,80cm,560,Eesti sisemeistrivõistlused 2025
2025-03-23,Jarko Märs,TVSK,Compound,U18,Men,2x18m,40cm,560,Eesti sisemeistrivõistlused 2025
2025-03-23,Aureelia Kasar,TYRI,Compound,U21,Women,2x18m,40cm,560,Eesti sisemeistrivõistlused 2025
2025-03-23,Jaanus Gross,SAG,Recurve,+50,Men,2x18m,40cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Stella Volmer,PVM,Recurve,U18,Women,2x18m,80cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Siim Oliver Kalmus,TLVK,Compound,U21,Men,2x18m,40cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Mehis Erenvert,TYRI,Compound,Adult,Men,2x18m,40cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Kristi Ilves,TYRI,Compound,Adult,Women,2x18m,40cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Mart Marandi,BH,Compound,+50,Men,2x18m,40cm,559,Eesti sisemeistrivõistlused 2025
2025-03-23,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x18m,40cm,558,Eesti sisemeistrivõistlused 2025
2025-03-23,Veleia Ovsianytska,STR,Recurve,U18,Women,2x18m,80cm,558,Eesti sisemeistrivõistlused 2025
2025-03-23,Aureelia Kasar,TYRI,Compound,U21,Women,2x18m,40cm,558,Eesti sisemeistrivõistlused 2025
2025-03-23,Kaisa Karu,TYRI,Compound,U15,Women,2x15m,80cm,558,Eesti sisemeistrivõistlused 2025
2025-03-23,Priit Tanvel,TLVK,Recurve,Adult,Men,2x18m,40cm,557,Eesti sisemeistrivõistlused 2025
2025-03-23,Lisete Kanamäe,SAG,Recurve,U18,Women,2x18m,80cm,556,Eesti sisemeistrivõistlused 2025
2025-03-23,Martin Rist,VVVK,Recurve,Adult,Men,2x18m,40cm,555,Eesti sisemeistrivõistlused 2025
2025-03-23,Mirtel Lilleleht,PVM,Recurve,U18,Women,2x18m,80cm,555,Eesti sisemeistrivõistlused 2025
2025-03-23,Emil Johanne Välja,JVI,Recurve,U13,Men,2x15m,80cm,555,Eesti sisemeistrivõistlused 2025
2025-03-23,Robert Kroon,TVSK,Recurve,U18,Men,2x18m,80cm,554,Eesti sisemeistrivõistlused 2025
2025-03-23,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,554,Eesti sisemeistrivõistlused 2025
2025-03-23,Siim Oliver Kalmus,TLVK,Compound,U21,Men,2x18m,40cm,554,Eesti sisemeistrivõistlused 2025
2025-03-23,Oskar Tomingas,PVM,Compound,U18,Men,2x18m,40cm,554,Eesti sisemeistrivõistlused 2025
2025-03-23,Liise Kuusk,TYRI,Compound,U18,Women,2x18m,40cm,554,Eesti sisemeistrivõistlused 2025
2025-03-23,Karl-Eric Fatal,TYRI,Compound,U18,Men,2x18m,40cm,553,Eesti sisemeistrivõistlused 2025
2025-03-23,Marten Soovik,JVI,Recurve,U13,Men,2x15m,80cm,552,Eesti sisemeistrivõistlused 2025
2025-03-23,Keron Saulus,TLVK,Recurve,U18,Men,2x18m,80cm,551,Eesti sisemeistrivõistlused 2025
2025-03-23,Anne Sein,SAG,Recurve,U21,Women,2x18m,40cm,550,Eesti sisemeistrivõistlused 2025
