Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-05-03,Liise Kuusk,TYRI,Compound,U15,Women,2x30m,80cm,699,Pärnu Avavõistlus 2025
2025-05-03,Miia Kerde,SAG,Compound,U15,Women,2x30m,80cm,695,Pärnu Avavõistlus 2025
2025-05-03,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,690,Pärnu Avavõistlus 2025
2025-05-03,Gert-Rayder Pening,LVL,Compound,U13,Men,2x15m,80cm,690,Pärnu Avavõistlus 2025
2025-05-03,Kristi Ilves,TYRI,Compound,Adult,Women,2x50m,80cm,678,Pärnu Avavõistlus 2025
2025-05-03,Caius Kand,TYRI,Compound,Adult,Men,2x50m,80cm,675,Pärnu Avavõistlus 2025
2025-05-03,Mait Sirel,PVM,Compound,U18,Men,2x50m,80cm,675,Pärnu Avavõistlus 2025
2025-05-03,Lovisa Lember,VVVK,Recurve,U13,Women,2x15m,80cm,669,Pärnu Avavõistlus 2025
2025-05-03,Maris Tetsmann,TYRI,Compound,Adult,Women,2x50m,80cm,669,Pärnu Avavõistlus 2025
2025-05-03,Vanessa Vagul,TVSK,Compound,U15,Women,2x30m,80cm,669,Pärnu Avavõistlus 2025
2025-05-03,Lennely Sälik,PVM,Recurve,U13,Women,2x15m,80cm,664,Pärnu Avavõistlus 2025
2025-05-03,Emil Välja,JVI,Recurve,U13,Men,2x15m,80cm,662,Pärnu Avavõistlus 2025
2025-05-03,Viktor Lutška,KSK,Compound,Adult,Men,2x50m,80cm,659,Pärnu Avavõistlus 2025
2025-05-03,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,646,Pärnu Avavõistlus 2025
2025-05-03,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,642,Pärnu Avavõistlus 2025
2025-05-03,Lisete Lepik,VVVK,Recurve,U15,Women,2x30m,80cm,641,Pärnu Avavõistlus 2025
