Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-05-10,Miia Kerde,SAG,Compound,U15,Women,2x30m,80cm,701,Puiatu Kevadnooled
2025-05-10,Kristi Ilves,TYRI,Compound,Adult,Women,2x50m,80cm,671,Puiatu Kevadnooled
2025-05-10,Aivar Pruuli,BH,Compound,Adult,Men,2x50m,80cm,668,Puiatu Kevadnooled
2025-05-10,Marten Soovik,JVI,Recurve,U13,Men,2x15m,80cm,667,Puiatu Kevadnooled
2025-05-10,Maris Tetsmann,TYRI,Compound,Adult,Women,2x50m,80cm,655,Puiatu Kevadnooled
2025-05-10,Lovisa Lember,VVVK,Recurve,U13,Women,2x15m,80cm,654,Puiatu Kevadnooled
2025-05-10,Gregor Oriehov,SVK,Compound,Adult,Men,2x50m,80cm,642,Puiatu Kevadnooled
2025-05-10,Lisete Laureen Lepik,VVVK,Recurve,U15,Women,2x30m,80cm,640,Puiatu Kevadnooled
2025-05-10,Marii Lehtmets,VVVK,Recurve,U13,Women,2x15m,80cm,636,Puiatu Kevadnooled
2025-05-10,Holger Peips,VVVK,Longbow,U13,Men,2x15m,80cm,636,Puiatu Kevadnooled
2025-05-10,Martin Rist,VVVK,Recurve,Adult,Men,2x70m,122cm,632,Puiatu Kevadnooled
2025-05-10,Arsenii Kaplun,VVVK,Barebow,U15,Men,2x15m,122cm,630,Puiatu Kevadnooled
2025-05-10,Aksel Tähepõld,SAG,Compound,U21,Men,2x50m,80cm,628,Puiatu Kevadnooled
2025-05-10,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,627,Puiatu Kevadnooled
2025-05-10,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,620,Puiatu Kevadnooled
2025-05-10,Laura Sootna,VVVK,Recurve,Adult,Women,2x30m,80cm,619,Puiatu Kevadnooled
2025-05-10,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,616,Puiatu Kevadnooled
2025-05-10,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,613,Puiatu Kevadnooled
2025-05-10,Oskar Tomingas,PVM,Compound,U18,Men,2x50m,80cm,612,Puiatu Kevadnooled
2025-05-10,Taivo Kovalevski,SVK,Compound,Adult,Men,2x50m,80cm,608,Puiatu Kevadnooled
2025-05-10,Lenart Lember,VVVK,Recurve,U13,Men,2x15m,80cm,603,Puiatu Kevadnooled
2025-05-10,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,600,Puiatu Kevadnooled
2025-05-10,Mileene Kõlvald,VVVK,Recurve,U13,Women,2x15m,80cm,599,Puiatu Kevadnooled
2025-05-10,Stella Õismaa,VVVK,Recurve,U15,Women,2x30m,80cm,595,Puiatu Kevadnooled
2025-05-10,Marten Suits,SAG,Recurve,U18,Men,2x60m,122cm,592,Puiatu Kevadnooled
