Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-05-25,Robin Jäätma,TYRI,Compound,Adult,Men,2x50m,80cm,713,Eesti Karikavõistlused 2025
2025-05-25,Vanessa Vagul,TVSK,Compound,U13,Women,2x15m,80cm,712,Eesti Karikavõistlused 2025
2025-05-25,Karl-Märten Aren,TYRI,Compound,U13,Men,2x15m,80cm,706,Eesti Karikavõistlused 2025
2025-05-25,Eliise Kalda,JVI,Recurve,U13,Women,2x15m,80cm,693,Eesti Karikavõistlused 2025
2025-05-25,Mait Sirel,PVM,Compound,U18,Men,2x50m,80cm,690,Eesti Karikavõistlused 2025
2025-05-25,Gert-Rayder Pening,LVL,Compound,U13,Men,2x15m,80cm,690,Eesti Karikavõistlused 2025
2025-05-25,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,689,Eesti Karikavõistlused 2025
2025-05-25,Lovisa Lember,VVVK,Recurve,U13,Women,2x15m,80cm,684,Eesti Karikavõistlused 2025
2025-05-25,Karoline Kivilo,JVI,Recurve,U15,Women,2x30m,80cm,682,Eesti Karikavõistlused 2025
2025-05-25,Kristi Ilves,TYRI,Compound,Adult,Women,2x50m,80cm,681,Eesti Karikavõistlused 2025
2025-05-25,Marten Soovik,JVI,Recurve,U13,Men,2x15m,80cm,680,Eesti Karikavõistlused 2025
2025-05-25,Mait Sirel,PVM,Compound,U18,Men,2x50m,80cm,680,Eesti Karikavõistlused 2025
2025-05-25,Ain Välja,JVI,Recurve,U13,Men,2x15m,80cm,678,Eesti Karikavõistlused 2025
2025-05-25,Helena Linder,TYRI,Compound,U13,Women,2x15m,80cm,673,Eesti Karikavõistlused 2025
2025-05-25,Caius Kand,TYRI,Compound,Adult,Men,2x50m,80cm,671,Eesti Karikavõistlused 2025
2025-05-25,Raimond Schasmin,TYRI,Compound,U13,Men,2x15m,80cm,667,Eesti Karikavõistlused 2025
2025-05-25,Aksel Tähepõld,SAG,Compound,U21,Men,2x50m,80cm,664,Eesti Karikavõistlused 2025
2025-05-25,Lennely Sälik,PVM,Recurve,U13,Women,2x15m,80cm,663,Eesti Karikavõistlused 2025
2025-05-25,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,662,Eesti Karikavõistlused 2025
2025-05-25,Maris Tetsmann,TYRI,Compound,Adult,Women,2x50m,80cm,662,Eesti Karikavõistlused 2025
2025-05-25,Maria-Liisa Mättas,TYRI,Compound,U15,Women,2x30m,80cm,658,Eesti Karikavõistlused 2025
2025-05-25,Karita Uuselu,SAG,Recurve,U13,Women,2x15m,80cm,653,Eesti Karikavõistlused 2025
2025-05-25,Lisete Lepik,VVVK,Recurve,U15,Women,2x30m,80cm,652,Eesti Karikavõistlused 2025
2025-05-25,Emil Välja,JVI,Recurve,U13,Men,2x15m,80cm,647,Eesti Karikavõistlused 2025
2025-05-25,Aksel Tähepõld,SAG,Compound,U21,Men,2x50m,80cm,647,Eesti Karikavõistlused 2025
2025-05-25,Jarko Märs,TVSK,Compound,U18,Men,2x50m,80cm,646,Eesti Karikavõistlused 2025
2025-05-25,Ghala Zaabout,TYRI,Compound,U15,Women,2x30m,80cm,646,Eesti Karikavõistlused 2025
2025-05-25,Lenart Lember,VVVK,Recurve,U13,Men,2x15m,80cm,641,Eesti Karikavõistlused 2025
2025-05-25,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,641,Eesti Karikavõistlused 2025
2025-05-25,Siim Kalmus,TLVK,Compound,U21,Men,2x50m,80cm,635,Eesti Karikavõistlused 2025
2025-05-25,Emma Kask,TVSK,Recurve,U18,Women,2x60m,122cm,632,Eesti Karikavõistlused 2025
2025-05-25,Artur Pramann,VVVK,Recurve,U13,Men,2x15m,80cm,632,Eesti Karikavõistlused 2025
2025-05-25,Jarko Märs,TVSK,Compound,U18,Men,2x50m,80cm,631,Eesti Karikavõistlused 2025
2025-05-25,Eron Mikku,SAG,Compound,U15,Men,2x30m,80cm,630,Eesti Karikavõistlused 2025
2025-05-25,Jaan Rösler,VVVK,Barebow,+50,Men,2x30m,122cm,630,Eesti Karikavõistlused 2025
2025-05-25,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,629,Eesti Karikavõistlused 2025
2025-05-25,Elisabeth Dederer,JVI,Recurve,U13,Women,2x15m,80cm,629,Eesti Karikavõistlused 2025
2025-05-25,Märt Gross,SAG,Recurve,U15,Men,2x30m,80cm,628,Eesti Karikavõistlused 2025
2025-05-25,Semen Kiiakh,VVVK,Recurve,U15,Men,2x30m,80cm,627,Eesti Karikavõistlused 2025
2025-05-25,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,626,Eesti Karikavõistlused 2025
2025-05-25,Jaan Kookla,BH,Compound,+60,Men,2x50m,80cm,626,Eesti Karikavõistlused 2025
2025-05-25,Rudolf Matzen,TLVK,Barebow,U15,Men,2x15m,122cm,626,Eesti Karikavõistlused 2025
2025-05-25,Mart Marandi,BH,Compound,+50,Men,2x50m,80cm,625,Eesti Karikavõistlused 2025
2025-05-25,Jevgeni Ikko,STR,Compound,+50,Men,2x50m,80cm,623,Eesti Karikavõistlused 2025
2025-05-25,Angelina Lipp,TYRI,Compound,U15,Women,2x30m,80cm,620,Eesti Karikavõistlused 2025
2025-05-25,Holger Peips,VVVK,Longbow,U13,Men,2x15m,80cm,620,Eesti Karikavõistlused 2025
2025-05-25,Aureelia Kasar,TYRI,Compound,U21,Women,2x50m,80cm,618,Eesti Karikavõistlused 2025
2025-05-25,Uljana Vingissar,TLVK,Barebow,U13,Women,2x15m,122cm,612,Eesti Karikavõistlused 2025
2025-05-25,Aare Lauren,LVL,Barebow,+50,Men,2x30m,122cm,612,Eesti Karikavõistlused 2025
2025-05-25,Taivo Kovalevski,SVK,Compound,Adult,Men,2x50m,80cm,611,Eesti Karikavõistlused 2025
2025-05-25,Paul Hanni,SAG,Compound,U21,Men,2x50m,80cm,609,Eesti Karikavõistlused 2025
2025-05-25,Siim Kalmus,TLVK,Compound,U21,Men,2x50m,80cm,609,Eesti Karikavõistlused 2025
2025-05-25,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,605,Eesti Karikavõistlused 2025
2025-05-25,Viktor Lutška,KSK,Compound,Adult,Men,2x50m,80cm,603,Eesti Karikavõistlused 2025
2025-05-25,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,602,Eesti Karikavõistlused 2025
2025-05-25,Karl-Matthias Pau,TVSK,Compound,U21,Men,2x50m,80cm,600,Eesti Karikavõistlused 2025
2025-05-25,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,599,Eesti Karikavõistlused 2025
2025-05-25,Annabel Koit,TLVK,Barebow,U15,Women,2x15m,122cm,595,Eesti Karikavõistlused 2025
2025-05-25,Martin Rist,VVVK,Recurve,Adult,Men,2x70m,122cm,592,Eesti Karikavõistlused 2025
2025-05-25,Liise Kuusk,TYRI,Compound,U18,Women,2x50m,80cm,592,Eesti Karikavõistlused 2025
2025-05-25,Oskar Tomingas,PVM,Compound,U18,Men,2x50m,80cm,590,Eesti Karikavõistlused 2025
2025-05-25,Meelis Pällo,VVK,Longbow,+60,Men,2x30m,80cm,590,Eesti Karikavõistlused 2025
2025-05-25,Heino Tenner,KSK,Longbow,+60,Men,2x30m,80cm,590,Eesti Karikavõistlused 2025
2025-05-25,Rait Ots,TLVK,Recurve,Adult,Men,2x70m,122cm,589,Eesti Karikavõistlused 2025
2025-05-25,Jaanus Gross,SAG,Recurve,Adult,Men,2x70m,122cm,589,Eesti Karikavõistlused 2025
2025-05-25,Are Lember,VVVK,Recurve,Adult,Men,2x70m,122cm,588,Eesti Karikavõistlused 2025
2025-05-25,Marii Lehtmets,VVVK,Recurve,U13,Women,2x15m,80cm,588,Eesti Karikavõistlused 2025
2025-05-25,Tarmo Kanamäe,SAG,Compound,+50,Men,2x50m,80cm,588,Eesti Karikavõistlused 2025
2025-05-25,Marten Suits,SAG,Recurve,U18,Men,2x60m,122cm,586,Eesti Karikavõistlused 2025
2025-05-25,Kersti Baumann,SVK,Barebow,+60,Women,2x30m,122cm,586,Eesti Karikavõistlused 2025
2025-05-25,Karl Antsmäe,TLVK,Longbow,U15,Men,2x15m,80cm,586,Eesti Karikavõistlused 2025
2025-05-25,Nazar Kvashuk,VVVK,Recurve,U15,Men,2x30m,80cm,585,Eesti Karikavõistlused 2025
2025-05-25,Mihhail Tatarlõ,TLVK,Barebow,U15,Men,2x15m,122cm,585,Eesti Karikavõistlused 2025
2025-05-25,Karina Juurik,TLVK,Barebow,U18,Women,2x30m,122cm,583,Eesti Karikavõistlused 2025
2025-05-25,Emma Kask,TVSK,Recurve,U18,Women,2x70m,122cm,582,Eesti Karikavõistlused 2025
2025-05-25,Mikk Mihkelson,JVI,Recurve,U18,Men,2x60m,122cm,582,Eesti Karikavõistlused 2025
2025-05-25,Arsenii Kaplun,VVVK,Barebow,U15,Men,2x15m,122cm,582,Eesti Karikavõistlused 2025
2025-05-25,Karl-Eric Fatal,TYRI,Compound,U18,Men,2x50m,80cm,580,Eesti Karikavõistlused 2025
2025-05-25,Sebastian Zimmer,TLVK,Longbow,U13,Men,2x15m,80cm,580,Eesti Karikavõistlused 2025
2025-05-25,Aleksandr Tatarlõ,TLVK,Barebow,U13,Men,2x15m,122cm,579,Eesti Karikavõistlused 2025
2025-05-25,Mariana Matiichuk,TLVK,Barebow,U13,Women,2x15m,122cm,579,Eesti Karikavõistlused 2025
2025-05-25,Lisette Gold,JVI,Recurve,U18,Women,2x60m,122cm,578,Eesti Karikavõistlused 2025
2025-05-25,Stella Õismaa,VVVK,Recurve,U15,Women,2x30m,80cm,577,Eesti Karikavõistlused 2025
2025-05-25,Luisa Tambur,SMA,Barebow,U13,Women,2x15m,122cm,576,Eesti Karikavõistlused 2025
2025-05-25,Rao Lõpp,TVSK,Barebow,U18,Men,2x30m,122cm,575,Eesti Karikavõistlused 2025
2025-05-25,Marek Pillmaa,PVM,Recurve,U13,Men,2x15m,80cm,574,Eesti Karikavõistlused 2025
2025-05-25,Georg Viitak,TLVK,Longbow,U13,Men,2x15m,80cm,570,Eesti Karikavõistlused 2025
2025-05-25,Marten Suits,SAG,Recurve,U18,Men,2x70m,122cm,568,Eesti Karikavõistlused 2025
2025-05-25,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,565,Eesti Karikavõistlused 2025
2025-05-25,Jaanika Rösler,VVVK,Recurve,Adult,Women,2x70m,122cm,565,Eesti Karikavõistlused 2025
2025-05-25,Tarvet Labi,VVVK,Recurve,U21,Men,2x70m,122cm,563,Eesti Karikavõistlused 2025
2025-05-25,Jaan Allik,VVVK,Recurve,U15,Men,2x30m,80cm,563,Eesti Karikavõistlused 2025
2025-05-25,Kalju Baumann,SVK,Barebow,+60,Men,2x30m,122cm,563,Eesti Karikavõistlused 2025
2025-05-25,Svetlana Tatarlõ,TLVK,Recurve,Adult,Women,2x70m,122cm,562,Eesti Karikavõistlused 2025
2025-05-25,Rasmus Lõpp,TVSK,Recurve,U21,Men,2x70m,122cm,561,Eesti Karikavõistlused 2025
2025-05-25,Gustav Lonks,SMA,Barebow,U13,Men,2x15m,122cm,560,Eesti Karikavõistlused 2025
2025-05-25,Vaido Valli,SAG,Barebow,Adult,Men,2x50m,122cm,559,Eesti Karikavõistlused 2025
2025-05-25,Nora Haas,JVI,Recurve,U18,Women,2x60m,122cm,558,Eesti Karikavõistlused 2025
2025-05-25,Tiit Heinsalu,SJK,Recurve,+60,Men,2x60m,122cm,556,Eesti Karikavõistlused 2025
2025-05-25,Enn Salu,VVK,Longbow,+50,Men,2x30m,80cm,555,Eesti Karikavõistlused 2025
2025-05-25,Aire Lauren,LVL,Barebow,+50,Women,2x30m,122cm,552,Eesti Karikavõistlused 2025
2025-05-25,Karl Kivilo,JVI,Recurve,Adult,Men,2x70m,122cm,550,Eesti Karikavõistlused 2025
2025-05-25,Aivo Agu,JVI,Recurve,Adult,Men,2x70m,122cm,550,Eesti Karikavõistlused 2025
2025-05-25,Tairo Priks,VVK,Barebow,U15,Men,2x15m,122cm,549,Eesti Karikavõistlused 2025
2025-05-25,Uku Peedu,SMA,Barebow,U13,Men,2x15m,122cm,548,Eesti Karikavõistlused 2025
2025-05-25,Erki Peips,VVVK,Recurve,U13,Men,2x15m,80cm,546,Eesti Karikavõistlused 2025
2025-05-25,Otto Mikkor,VVVK,Recurve,U15,Men,2x30m,80cm,544,Eesti Karikavõistlused 2025
2025-05-25,Brigita Õue,SMA,Barebow,U18,Women,2x30m,122cm,543,Eesti Karikavõistlused 2025
2025-05-25,Anne Sein,SAG,Recurve,U21,Women,2x70m,122cm,541,Eesti Karikavõistlused 2025
2025-05-25,Märt Labi,VVVK,Recurve,U18,Men,2x60m,122cm,533,Eesti Karikavõistlused 2025
2025-05-25,Veleia Ovsianytska,STR,Recurve,U18,Women,2x60m,122cm,533,Eesti Karikavõistlused 2025
2025-05-25,Sandra Lõoke,VVVK,Recurve,U15,Women,2x30m,80cm,532,Eesti Karikavõistlused 2025
2025-05-25,Andreas Talviste,TLVK,Longbow,U13,Men,2x15m,80cm,532,Eesti Karikavõistlused 2025
2025-05-25,Emma Hütt,SAG,Barebow,U18,Women,2x30m,122cm,531,Eesti Karikavõistlused 2025
2025-05-25,Andres Sarapuu,VVVK,Recurve,U21,Men,2x70m,122cm,530,Eesti Karikavõistlused 2025
2025-05-25,Bronek Ibrus,VVVK,Recurve,U15,Men,2x30m,80cm,529,Eesti Karikavõistlused 2025
2025-05-25,Mariann Miller,VVK,Longbow,U13,Women,2x15m,80cm,529,Eesti Karikavõistlused 2025
2025-05-25,Andres Sild,SAG,Recurve,+50,Men,2x60m,122cm,527,Eesti Karikavõistlused 2025
2025-05-25,Marielle Laasma,PVM,Recurve,Adult,Women,2x70m,122cm,525,Eesti Karikavõistlused 2025
2025-05-25,Mattias Saadla,TVSK,Recurve,U18,Men,2x60m,122cm,525,Eesti Karikavõistlused 2025
2025-05-25,Paul Villemi,SAG,Barebow,Adult,Men,2x50m,122cm,525,Eesti Karikavõistlused 2025
2025-05-25,Eve Kivilo,JVI,Recurve,+60,Women,2x60m,122cm,524,Eesti Karikavõistlused 2025
2025-05-25,Rasmus Lõpp,TVSK,Recurve,U21,Men,2x70m,122cm,523,Eesti Karikavõistlused 2025
2025-05-25,Kaja Kelder,TLVK,Barebow,U18,Women,2x30m,122cm,523,Eesti Karikavõistlused 2025
2025-05-25,Kristelle Liukonene,VVK,Barebow,U15,Women,2x15m,122cm,523,Eesti Karikavõistlused 2025
2025-05-25,Vello Rooveer,VVVK,Longbow,+50,Men,2x30m,80cm,523,Eesti Karikavõistlused 2025
2025-05-25,Aliaksandra Petrushenka,STR,Barebow,U18,Women,2x30m,122cm,521,Eesti Karikavõistlused 2025
2025-05-25,Maksym Rossokha,VVVK,Longbow,U18,Men,2x30m,80cm,521,Eesti Karikavõistlused 2025
2025-05-25,Ella-Joanna Salumaa,VVK,Barebow,U13,Women,2x15m,122cm,520,Eesti Karikavõistlused 2025
2025-05-25,Karl-Kuldar Nõmm,SVK,Longbow,U13,Men,2x15m,80cm,519,Eesti Karikavõistlused 2025
2025-05-25,Johanna Jõe,SAG,Recurve,U21,Women,2x70m,122cm,518,Eesti Karikavõistlused 2025
2025-05-25,Joonatan Valk,TVSK,Barebow,U18,Men,2x30m,122cm,516,Eesti Karikavõistlused 2025
2025-05-25,Liisa Sibrits,VVK,Barebow,U15,Women,2x15m,122cm,516,Eesti Karikavõistlused 2025
2025-05-25,Ville Aau,SMA,Barebow,U13,Men,2x15m,122cm,516,Eesti Karikavõistlused 2025
2025-05-25,Laura Künnapuu,TLVK,Barebow,U13,Women,2x15m,122cm,515,Eesti Karikavõistlused 2025
2025-05-25,Marthen Nepste,SVK,Longbow,U15,Men,2x15m,80cm,515,Eesti Karikavõistlused 2025
2025-05-25,Triin Kent,KSK,Barebow,Adult,Women,2x50m,122cm,514,Eesti Karikavõistlused 2025
2025-05-25,Lisette Gold,JVI,Recurve,U18,Women,2x70m,122cm,511,Eesti Karikavõistlused 2025
2025-05-25,Ingrid Ritval,VVVK,Recurve,U18,Women,2x60m,122cm,511,Eesti Karikavõistlused 2025
2025-05-25,Ilona Kallas,SVK,Longbow,U18,Women,2x30m,80cm,511,Eesti Karikavõistlused 2025
2025-05-25,Marju-Ly Kaarjärv,VVK,Longbow,+60,Women,2x30m,80cm,511,Eesti Karikavõistlused 2025
2025-05-25,Karoliina Haukanõmm,VVVK,Recurve,U15,Women,2x30m,80cm,508,Eesti Karikavõistlused 2025
2025-05-25,Gert Soe,VVVK,Compound,U18,Men,2x50m,80cm,508,Eesti Karikavõistlused 2025
2025-05-25,Kaarel Pillart,SAG,Recurve,U18,Men,2x60m,122cm,507,Eesti Karikavõistlused 2025
2025-05-25,Sofia-Elisabeth Järvi,SVK,Longbow,U13,Women,2x15m,80cm,503,Eesti Karikavõistlused 2025
2025-05-25,Vladimir Odinokov,STR,Barebow,U13,Men,2x15m,122cm,502,Eesti Karikavõistlused 2025
2025-05-25,Johanna Jõe,SAG,Recurve,U21,Women,2x70m,122cm,500,Eesti Karikavõistlused 2025
2025-05-25,Liise Kuusk,TYRI,Compound,U18,Women,2x50m,80cm,500,Eesti Karikavõistlused 2025
2025-05-25,Egert Pähkel,PVM,Recurve,U18,Men,2x60m,122cm,499,Eesti Karikavõistlused 2025
2025-05-25,Mikk Mihkelson,JVI,Recurve,U18,Men,2x70m,122cm,496,Eesti Karikavõistlused 2025
2025-05-25,Ella Viljaste,SAG,Barebow,U13,Women,2x15m,122cm,496,Eesti Karikavõistlused 2025
2025-05-25,Keron Saulus,TLVK,Recurve,U18,Men,2x60m,122cm,493,Eesti Karikavõistlused 2025
2025-05-25,Ulla Tatter,TLVK,Barebow,U13,Women,2x15m,122cm,491,Eesti Karikavõistlused 2025
2025-05-25,Alo Nurmsalu,VVVK,Recurve,Adult,Men,2x70m,122cm,489,Eesti Karikavõistlused 2025
2025-05-25,Aksel Ivanov,TLVK,Barebow,U18,Men,2x30m,122cm,489,Eesti Karikavõistlused 2025
2025-05-25,Allan Männik,KSK,Longbow,+60,Men,2x30m,80cm,488,Eesti Karikavõistlused 2025
2025-05-25,Samuel Paavo,SAG,Recurve,U13,Men,2x15m,80cm,487,Eesti Karikavõistlused 2025
2025-05-25,Tiina Laurisson,VVK,Longbow,+60,Women,2x30m,80cm,487,Eesti Karikavõistlused 2025
2025-05-25,Lisete Lepik,VVVK,Recurve,U15,Women,2x70m,122cm,486,Eesti Karikavõistlused 2025
2025-05-25,Priidu Paomets,KSK,Barebow,Adult,Men,2x50m,122cm,484,Eesti Karikavõistlused 2025
2025-05-25,Marcella Soesoo,VVVK,Compound,U18,Women,2x50m,80cm,482,Eesti Karikavõistlused 2025
2025-05-25,Marten Mäger,PVM,Recurve,U18,Men,2x60m,122cm,478,Eesti Karikavõistlused 2025
2025-05-25,Priit Pramann,VVVK,Recurve,+50,Men,2x60m,122cm,478,Eesti Karikavõistlused 2025
2025-05-25,Andres Sarapuu,VVVK,Recurve,U21,Men,2x70m,122cm,477,Eesti Karikavõistlused 2025
2025-05-25,Reesi Volmer,PVM,Recurve,Adult,Women,2x70m,122cm,476,Eesti Karikavõistlused 2025
2025-05-25,Robert Kroon,TVSK,Recurve,U18,Men,2x60m,122cm,475,Eesti Karikavõistlused 2025
2025-05-25,Gertrud Vaeno,PVM,Recurve,U18,Women,2x60m,122cm,474,Eesti Karikavõistlused 2025
2025-05-25,Pilleriin Järve,KSK,Longbow,+50,Women,2x30m,80cm,472,Eesti Karikavõistlused 2025
2025-05-25,Tarvet Labi,VVVK,Recurve,U21,Men,2x70m,122cm,469,Eesti Karikavõistlused 2025
2025-05-25,Nikita Valashas,STR,Barebow,U18,Men,2x30m,122cm,464,Eesti Karikavõistlused 2025
2025-05-25,Rasmus Sibrits,VVK,Barebow,U18,Men,2x30m,122cm,463,Eesti Karikavõistlused 2025
2025-05-25,Patrick Järve,VVVK,Recurve,U21,Men,2x70m,122cm,460,Eesti Karikavõistlused 2025
2025-05-25,Gereth Soesoo,VVVK,Recurve,U21,Men,2x70m,122cm,459,Eesti Karikavõistlused 2025
2025-05-25,Krista Hein,SAG,Barebow,Adult,Women,2x50m,122cm,455,Eesti Karikavõistlused 2025
2025-05-25,Emili Hanni,SAG,Recurve,U21,Women,2x70m,122cm,453,Eesti Karikavõistlused 2025
2025-05-25,Marjella Allikas,SVK,Recurve,U13,Women,2x15m,80cm,453,Eesti Karikavõistlused 2025
2025-05-25,Patrick Järve,VVVK,Recurve,U21,Men,2x70m,122cm,448,Eesti Karikavõistlused 2025
2025-05-25,Tessa Tammik,JVI,Recurve,Adult,Women,2x70m,122cm,448,Eesti Karikavõistlused 2025
2025-05-25,Boriss Malõsev,VVK,Longbow,+50,Men,2x30m,80cm,446,Eesti Karikavõistlused 2025
2025-05-25,Jette Jõe,TVSK,Recurve,U21,Women,2x70m,122cm,432,Eesti Karikavõistlused 2025
