Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-05-31,Evert Ressar,BH,Compound,Adult,Men,6x50m,80cm,2026,Visa Hing
2025-05-31,Triinu Lilienthal,JVI,Recurve,Adult,Women,6x70m,122cm,1799,Visa Hing
2025-05-31,Priit Tanvel,TLVK,Recurve,Adult,Men,6x70m,122cm,1763,Visa Hing
2025-05-31,Tanel Kaasik,TLVK,Recurve,Adult,Men,6x70m,122cm,1759,Visa Hing
2025-05-31,Kait Soesoo,VVVK,Recurve,Adult,Men,6x70m,122cm,1723,Visa Hing
2025-05-31,Birgit Metsjõe,VVVK,Recurve,Adult,Women,6x70m,122cm,1700,Visa Hing
2025-05-31,Hannes Kraav,TL,Recurve,Adult,Men,6x70m,122cm,1695,Visa Hing
2025-05-31,Mikk Mihkelson,JVI,Recurve,U18,Men,6x60m,122cm,1695,Visa Hing
2025-05-31,Karl Kivilo,JVI,Recurve,Adult,Men,6x70m,122cm,1689,Visa Hing
2025-05-31,Rait Ots,TLVK,Recurve,Adult,Men,6x70m,122cm,1681,Visa Hing
2025-05-31,Märt Labi,VVVK,Recurve,U18,Men,6x60m,122cm,1631,Visa Hing
2025-05-31,Ingrid Ritval,VVVK,Recurve,U18,Women,6x60m,122cm,1615,Visa Hing
2025-05-31,Patrick Järve,VVVK,Recurve,U21,Men,6x70m,122cm,1600,Visa Hing
2025-05-31,Tarvet Labi,VVVK,Recurve,U21,Men,6x70m,122cm,1524,Visa Hing
2025-05-31,Liise Kuusk,TYRI,Compound,U18,Women,6x50m,80cm,1503,Visa Hing
2025-05-31,Lisete Lepik,VVVK,Recurve,U18,Women,6x60m,122cm,1500,Visa Hing
2025-05-31,Robert Kroon,TVSK,Recurve,U18,Men,6x60m,122cm,1387,Visa Hing
2025-05-31,Karoline Kivilo,JVI,Recurve,U15,Men,4x30m,80cm,1339,Visa Hing
2025-05-31,Krent Kaasik,TVSK,Recurve,U15,Men,4x30m,80cm,1313,Visa Hing
2025-05-31,Rasmus Ellam,JVI,Recurve,U13,Men,4x15m,80cm,1279,Visa Hing
2025-05-31,Eve Kivilo,JVI,Recurve,+50,Women,4x60m,122cm,990,Visa Hing
2025-05-31,Karoline Kivilo,JVI,Recurve,U15,Men,2x30m,80cm,681,Visa Hing
2025-05-31,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,678,Visa Hing
2025-05-31,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,676,Visa Hing
2025-05-31,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,672,Visa Hing
2025-05-31,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,661,Visa Hing
2025-05-31,Karoline Kivilo,JVI,Recurve,U15,Men,2x30m,80cm,658,Visa Hing
2025-05-31,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,652,Visa Hing
2025-05-31,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,649,Visa Hing
2025-05-31,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,630,Visa Hing
2025-05-31,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,609,Visa Hing
2025-05-31,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,606,Visa Hing
2025-05-31,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,598,Visa Hing
2025-05-31,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,592,Visa Hing
2025-05-31,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,590,Visa Hing
2025-05-31,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,589,Visa Hing
2025-05-31,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,589,Visa Hing
2025-05-31,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,583,Visa Hing
2025-05-31,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,583,Visa Hing
2025-05-31,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,580,Visa Hing
2025-05-31,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,574,Visa Hing
2025-05-31,Ingrid Ritval,VVVK,Recurve,U18,Women,2x60m,122cm,574,Visa Hing
2025-05-31,Hannes Kraav,TL,Recurve,Adult,Men,2x70m,122cm,572,Visa Hing
2025-05-31,Mikk Mihkelson,JVI,Recurve,U18,Men,2x60m,122cm,572,Visa Hing
2025-05-31,Karl Kivilo,JVI,Recurve,Adult,Men,2x70m,122cm,570,Visa Hing
2025-05-31,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,568,Visa Hing
2025-05-31,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,566,Visa Hing
2025-05-31,Rait Ots,TLVK,Recurve,Adult,Men,2x70m,122cm,566,Visa Hing
2025-05-31,Mikk Mihkelson,JVI,Recurve,U18,Men,2x60m,122cm,565,Visa Hing
