Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-06-07,Lovisa Lember,VVVK,Recurve,U13,Women,4x15m,80cm,1372,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Krent Kaasik,TVSK,Recurve,U15,Men,4x30m,80cm,1345,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Lennely Sälik,PVM,Recurve,U13,Women,4x15m,80cm,1343,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Maris Tetsmann,TYRI,Compound,Adult,Women,4x50m,80cm,1321,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Oskar Tomingas,PVM,Compound,U18,Men,4x50m,80cm,1273,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Lenart Lember,VVVK,Recurve,U13,Men,4x15m,80cm,1265,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Semen Kiiakh,VVVK,Recurve,U15,Men,4x30m,80cm,1256,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Artur Pramann,VVVK,Recurve,U13,Men,4x15m,80cm,1245,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Rasmus Ellam,JVI,Recurve,U13,Men,4x15m,80cm,1235,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Martin Rist,VVVK,Recurve,Adult,Men,4x70m,122cm,1219,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Triinu Lilienthal,JVI,Recurve,Adult,Women,4x70m,122cm,1218,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Henri Veersalu,SAG,Longbow,U13,Men,4x15m,80cm,1209,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Jaanus Gross,SAG,Recurve,+50,Men,4x60m,122cm,1195,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Lisete Kanamäe,SAG,Recurve,Adult,Women,4x30m,80cm,1190,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Priit Tanvel,TLVK,Recurve,Adult,Men,4x70m,122cm,1187,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Tarmo Kanamäe,SAG,Compound,+50,Men,4x50m,80cm,1182,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Tanel Kaasik,TLVK,Recurve,Adult,Men,4x70m,122cm,1173,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Holger Peips,VVVK,Longbow,U13,Men,4x15m,80cm,1162,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Mikk Mihkelson,JVI,Recurve,U18,Men,4x60m,122cm,1159,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Haidi Kanamäe,SAG,Recurve,Adult,Women,4x30m,80cm,1151,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Adriana Mass,PVM,Recurve,Adult,Women,4x30m,80cm,1147,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Liise Kuusk,TYRI,Compound,U18,Women,4x50m,80cm,1144,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Lisette Gold,JVI,Recurve,U18,Women,4x60m,122cm,1126,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Paul Hanni,SAG,Compound,U21,Men,4x50m,80cm,1118,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Kirke Sarapu,PVM,Recurve,Adult,Women,4x30m,80cm,1108,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Mariann Miller,VVK,Longbow,U13,Women,4x15m,80cm,1097,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Karl Õismaa,VVVK,Recurve,Adult,Men,4x30m,80cm,1092,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Birgit Metsjõe,VVVK,Recurve,Adult,Women,4x70m,122cm,1087,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Stella Õismaa,VVVK,Recurve,U15,Women,4x30m,80cm,1085,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Kain Ilves,VVVK,Barebow,Adult,Men,4x30m,122cm,1083,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Ingrid Ritval,VVVK,Recurve,U18,Women,4x60m,122cm,1080,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Jaan Allik,VVVK,Recurve,U15,Men,4x30m,80cm,1073,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Kaarel Pillart,SAG,Recurve,U18,Men,4x60m,122cm,1072,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Rait Ots,TLVK,Recurve,Adult,Men,4x70m,122cm,1067,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Pilleriin Järve,KSK,Longbow,+50,Women,4x30m,80cm,1067,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Enn Salu,VVK,Longbow,+50,Men,4x30m,80cm,1066,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Marielle Laasma,PVM,Recurve,Adult,Women,4x70m,122cm,1063,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Marek Pillmaa,PVM,Recurve,U13,Men,4x15m,80cm,1063,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Märt Labi,VVVK,Recurve,U18,Men,4x60m,122cm,1045,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Priit Pramann,VVVK,Recurve,+50,Men,4x60m,122cm,1038,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Indrek Hiie,SAG,Recurve,+50,Men,4x60m,122cm,1027,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Patrick Järve,VVVK,Recurve,U21,Men,4x70m,122cm,1025,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Marcella Soesoo,VVVK,Compound,U18,Women,4x50m,80cm,1018,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Viktor Yevchyshyn,VVVK,Longbow,U18,Men,4x30m,80cm,1014,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Andres Sild,SAG,Recurve,+50,Men,4x60m,122cm,1011,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Triinu Rõigas,VVVK,Recurve,Adult,Women,4x30m,80cm,993,XXVII Eve Suitsu memoriaal 2025
2025-06-07,Reesi Volmer,PVM,Recurve,Adult,Women,4x70m,122cm,989,XXVII Eve Suitsu memoriaal 2025
