Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-06-21,Meeri-Marita Paas,SAG,Compound,Adult,Women,4x50m,80cm,1395,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Miia Kerde,SAG,Compound,U15,Women,4x30m,80cm,1388,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Vanessa Vagul,TVSK,Compound,U15,Women,4x30m,80cm,1381,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Evert Ressar,BH,Compound,Adult,Men,4x50m,80cm,1366,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Lennely Sälik,PVM,Recurve,U13,Women,4x15m,80cm,1362,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Eliise Kalda,JVI,Recurve,U13,Women,4x15m,80cm,1357,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Mait Sirel,PVM,Compound,Adult,Men,4x50m,80cm,1347,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Rasmus Ellam,JVI,Recurve,U13,Men,4x15m,80cm,1322,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Raiko Luik,PVM,Recurve,U13,Men,4x15m,80cm,1316,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Krent Kaasik,TVSK,Recurve,U15,Men,4x30m,80cm,1305,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Kaisa Kraav,TL,Recurve,U15,Women,4x30m,80cm,1269,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Oskar Tomingas,PVM,Compound,U18,Men,4x50m,80cm,1268,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Mattias Kraav,TL,Recurve,U15,Men,4x30m,80cm,1249,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Marek Pillmaa,PVM,Recurve,U13,Men,4x15m,80cm,1226,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Artur Pramann,VVVK,Recurve,U13,Men,4x15m,80cm,1222,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Adriana Mass,PVM,Recurve,Adult,Women,4x30m,80cm,1220,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Tarmo Kanamäe,SAG,Compound,+50,Men,4x50m,80cm,1202,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Kait Soesoo,VVVK,Recurve,Adult,Men,4x70m,122cm,1189,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Ingrid Ritval,VVVK,Recurve,U18,Women,4x60m,122cm,1188,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Heino Tenner,KSK,Longbow,+50,Men,4x30m,80cm,1185,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Haidi Kanamäe,SAG,Recurve,Adult,Women,4x30m,80cm,1177,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Hannes Kraav,TL,Recurve,Adult,Men,4x70m,122cm,1175,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Triinu Rõigas,VVVK,Recurve,Adult,Women,4x30m,80cm,1140,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Kirke Sarapu,PVM,Recurve,Adult,Women,4x30m,80cm,1137,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Liise Kuusk,TYRI,Compound,U18,Women,4x50m,80cm,1136,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Anne Sein,SAG,Recurve,U21,Women,4x70m,122cm,1120,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Mattias Saadla,TVSK,Recurve,U18,Men,4x60m,122cm,1109,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Eimar Kukk,PVM,Recurve,Adult,Men,4x70m,122cm,1092,Pärnu Lahtised Meistrivõistlused 2025
2025-06-21,Tiit Heinsalu,SJK,Recurve,+50,Men,4x60m,122cm,1078,Pärnu Lahtised Meistrivõistlused 2025
