Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-06-28,Vanessa Vagul,TVSK,Compound,U13,Women,2x15m,80cm,719,Eesti noorte meistrivõistlused 2025
2025-06-28,Karl Märten Aren,TYRI,Compound,U13,Men,2x15m,80cm,710,Eesti noorte meistrivõistlused 2025
2025-06-28,Miia Kerde,SAG,Compound,U15,Women,2x30m,80cm,695,Eesti noorte meistrivõistlused 2025
2025-06-28,Lovisa Lember,VVVK,Recurve,U13,Women,2x15m,80cm,691,Eesti noorte meistrivõistlused 2025
2025-06-28,Karita Uuselu,SAG,Recurve,U13,Women,2x15m,80cm,690,Eesti noorte meistrivõistlused 2025
2025-06-28,Marten Soovik,JVI,Recurve,U13,Men,2x15m,80cm,686,Eesti noorte meistrivõistlused 2025
2025-06-28,Helena Linder,TYRI,Compound,U13,Women,2x15m,80cm,686,Eesti noorte meistrivõistlused 2025
2025-06-28,Mattias Kraav,TLVK,Recurve,U13,Men,2x15m,80cm,682,Eesti noorte meistrivõistlused 2025
2025-06-28,Raiko Luik,PVM,Recurve,U13,Men,2x15m,80cm,674,Eesti noorte meistrivõistlused 2025
2025-06-28,Karoline Kivilo,JVI,Recurve,U15,Women,2x30m,80cm,673,Eesti noorte meistrivõistlused 2025
2025-06-28,Lennely Sälik,PVM,Recurve,U13,Women,2x15m,80cm,671,Eesti noorte meistrivõistlused 2025
2025-06-28,Mait Sirel,PVM,Compound,U18,Men,2x50m,80cm,671,Eesti noorte meistrivõistlused 2025
2025-06-28,Eliise Marie Kalda,JVI,Recurve,U13,Women,2x15m,80cm,660,Eesti noorte meistrivõistlused 2025
2025-06-28,Raimond Schasmin,TYRI,Compound,U13,Men,2x15m,80cm,659,Eesti noorte meistrivõistlused 2025
2025-06-28,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,658,Eesti noorte meistrivõistlused 2025
2025-06-28,Kaisa Karu,TYRI,Compound,U15,Women,2x30m,80cm,653,Eesti noorte meistrivõistlused 2025
2025-06-28,Ghala Zaabout,TYRI,Compound,U15,Women,2x30m,80cm,652,Eesti noorte meistrivõistlused 2025
2025-06-28,Märt Gross,SAG,Recurve,U15,Men,2x30m,80cm,651,Eesti noorte meistrivõistlused 2025
2025-06-28,Jarko Märs,TVSK,Compound,U18,Men,2x50m,80cm,649,Eesti noorte meistrivõistlused 2025
2025-06-28,Triinu Luukas,TYRI,Compound,U15,Women,2x30m,80cm,645,Eesti noorte meistrivõistlused 2025
2025-06-28,Lisete Laureen Lepik,VVVK,Recurve,U15,Women,2x30m,80cm,643,Eesti noorte meistrivõistlused 2025
