Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-07-20,Meeri-Marita Paas,SAG,Compound,Adult,Women,2x50m,80cm,695,Eesti Meistrivõistlused OR 2025
2025-07-20,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,694,Eesti Meistrivõistlused OR 2025
2025-07-20,Caius Kand,TYRI,Compound,Adult,Men,2x50m,80cm,678,Eesti Meistrivõistlused OR 2025
2025-07-20,Mait Sirel,PVM,Compound,Adult,Men,2x50m,80cm,672,Eesti Meistrivõistlused OR 2025
2025-07-20,Kristi Ilves,TYRI,Compound,Adult,Women,2x50m,80cm,672,Eesti Meistrivõistlused OR 2025
2025-07-20,Aksel Tähepõld,SAG,Compound,Adult,Men,2x50m,80cm,637,Eesti Meistrivõistlused OR 2025
2025-07-20,Martin Rist,VVVK,Recurve,Adult,Men,2x70m,122cm,636,Eesti Meistrivõistlused OR 2025
2025-07-20,Oskar Tomingas,PVM,Compound,Adult,Men,2x50m,80cm,632,Eesti Meistrivõistlused OR 2025
2025-07-20,Ülle Kell,KSK,Longbow,+60,Women,2x30m,80cm,624,Eesti Meistrivõistlused OR 2025
2025-07-20,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,610,Eesti Meistrivõistlused OR 2025
2025-07-20,Paul Hanni,SAG,Compound,Adult,Men,2x50m,80cm,610,Eesti Meistrivõistlused OR 2025
2025-07-20,Tarmo Kanamäe,SAG,Compound,+50,Men,2x50m,80cm,610,Eesti Meistrivõistlused OR 2025
2025-07-20,Kait Soesoo,VVVK,Recurve,Adult,Men,2x70m,122cm,599,Eesti Meistrivõistlused OR 2025
2025-07-20,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,597,Eesti Meistrivõistlused OR 2025
2025-07-20,Liise Kuusk,TYRI,Compound,Adult,Women,2x50m,80cm,595,Eesti Meistrivõistlused OR 2025
2025-07-20,Indrek Hiie,SAG,Recurve,+50,Men,2x60m,122cm,592,Eesti Meistrivõistlused OR 2025
2025-07-20,Rasmus Käsper,TLVK,Recurve,Adult,Men,2x70m,122cm,588,Eesti Meistrivõistlused OR 2025
2025-07-20,Hannes Kraav,TL,Recurve,Adult,Men,2x70m,122cm,580,Eesti Meistrivõistlused OR 2025
2025-07-20,Emma Kask,TVSK,Recurve,Adult,Women,2x70m,122cm,571,Eesti Meistrivõistlused OR 2025
2025-07-20,Marten Suits,SAG,Recurve,Adult,Men,2x70m,122cm,569,Eesti Meistrivõistlused OR 2025
2025-07-20,Karl Kivilo,JVI,Recurve,Adult,Men,2x70m,122cm,565,Eesti Meistrivõistlused OR 2025
2025-07-20,Alo Nurmsalu,VVVK,Recurve,Adult,Men,2x70m,122cm,560,Eesti Meistrivõistlused OR 2025
2025-07-20,Vello Rooveer,VVVK,Longbow,+60,Men,2x30m,80cm,558,Eesti Meistrivõistlused OR 2025
2025-07-20,Märt Labi,VVVK,Recurve,Adult,Men,2x70m,122cm,556,Eesti Meistrivõistlused OR 2025
2025-07-20,Eimar Kukk,PVM,Recurve,Adult,Men,2x70m,122cm,553,Eesti Meistrivõistlused OR 2025
2025-07-20,Heldur Hanni,SAG,Recurve,Adult,Men,2x70m,122cm,553,Eesti Meistrivõistlused OR 2025
2025-07-20,Karoline Kivilo,JVI,Recurve,Adult,Women,2x70m,122cm,548,Eesti Meistrivõistlused OR 2025
2025-07-20,Kaarel Pillart,SAG,Recurve,Adult,Men,2x70m,122cm,547,Eesti Meistrivõistlused OR 2025
2025-07-20,Marielle Laasma,PVM,Recurve,Adult,Women,2x70m,122cm,545,Eesti Meistrivõistlused OR 2025
2025-07-20,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,542,Eesti Meistrivõistlused OR 2025
2025-07-20,Ander Sepp,TVSK,Recurve,Adult,Men,2x70m,122cm,539,Eesti Meistrivõistlused OR 2025
2025-07-20,Are Lember,VVVK,Recurve,Adult,Men,2x70m,122cm,536,Eesti Meistrivõistlused OR 2025
2025-07-20,Patrick Järve,VVVK,Recurve,Adult,Men,2x70m,122cm,530,Eesti Meistrivõistlused OR 2025
2025-07-20,Tarvet Labi,VVVK,Recurve,Adult,Men,2x70m,122cm,526,Eesti Meistrivõistlused OR 2025
2025-07-20,Rait Ots,TLVK,Recurve,Adult,Men,2x70m,122cm,526,Eesti Meistrivõistlused OR 2025
2025-07-20,Aivo Agu,JVI,Recurve,Adult,Men,2x70m,122cm,523,Eesti Meistrivõistlused OR 2025
2025-07-20,Johanna Jõe,SAG,Recurve,Adult,Women,2x70m,122cm,521,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaan Rösler,VVVK,Barebow,Adult,Men,2x50m,122cm,521,Eesti Meistrivõistlused OR 2025
2025-07-20,Krista Hein,SAG,Barebow,Adult,Women,2x50m,122cm,521,Eesti Meistrivõistlused OR 2025
2025-07-20,Tiit Heinsalu,SJK,Recurve,+60,Men,2x60m,122cm,519,Eesti Meistrivõistlused OR 2025
2025-07-20,Lisette Gold,JVI,Recurve,Adult,Women,2x70m,122cm,517,Eesti Meistrivõistlused OR 2025
2025-07-20,Jaanika Rösler,VVVK,Recurve,Adult,Women,2x70m,122cm,517,Eesti Meistrivõistlused OR 2025
2025-07-20,Andres Sarapuu,VVVK,Recurve,Adult,Men,2x70m,122cm,515,Eesti Meistrivõistlused OR 2025
2025-07-20,Heleri Nõmm,TVSK,Recurve,Adult,Women,2x70m,122cm,513,Eesti Meistrivõistlused OR 2025
2025-07-20,Mikk Mihkelson,JVI,Recurve,Adult,Men,2x70m,122cm,510,Eesti Meistrivõistlused OR 2025
2025-07-20,Janek Tolberg,VVVK,Recurve,Adult,Men,2x70m,122cm,510,Eesti Meistrivõistlused OR 2025
2025-07-20,Lisete Lepik,VVVK,Recurve,Adult,Women,2x70m,122cm,510,Eesti Meistrivõistlused OR 2025
2025-07-20,Priit Pramann,VVVK,Recurve,+50,Men,2x60m,122cm,510,Eesti Meistrivõistlused OR 2025
2025-07-20,Mirel Missik,VVVK,Recurve,Adult,Women,2x70m,122cm,501,Eesti Meistrivõistlused OR 2025
2025-07-20,Paul Villemi,SAG,Barebow,Adult,Men,2x50m,122cm,498,Eesti Meistrivõistlused OR 2025
2025-07-20,Marten Mäger,PVM,Recurve,Adult,Men,2x70m,122cm,492,Eesti Meistrivõistlused OR 2025
2025-07-20,Gert Soe,VVVK,Compound,Adult,Men,2x50m,80cm,490,Eesti Meistrivõistlused OR 2025
2025-07-20,Emili Hanni,SAG,Recurve,Adult,Women,2x70m,122cm,486,Eesti Meistrivõistlused OR 2025
2025-07-20,Eve Kivilo,JVI,Recurve,+60,Women,2x60m,122cm,483,Eesti Meistrivõistlused OR 2025
2025-07-20,Priidu Paomets,KSK,Barebow,Adult,Men,2x50m,122cm,482,Eesti Meistrivõistlused OR 2025
2025-07-20,Andrey Gerassimov,SAG,Recurve,+50,Men,2x60m,122cm,477,Eesti Meistrivõistlused OR 2025
2025-07-20,Pilleriin Järve,KSK,Longbow,+50,Women,2x30m,80cm,477,Eesti Meistrivõistlused OR 2025
2025-07-20,Tessa Tammik,JVI,Recurve,Adult,Women,2x70m,122cm,473,Eesti Meistrivõistlused OR 2025
2025-07-20,Raoul Johanson,PVM,Recurve,+60,Men,2x60m,122cm,464,Eesti Meistrivõistlused OR 2025
2025-07-20,Ingrid Ritval,VVVK,Recurve,Adult,Women,2x70m,122cm,462,Eesti Meistrivõistlused OR 2025
2025-07-20,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,2x70m,122cm,456,Eesti Meistrivõistlused OR 2025
2025-07-20,Kaja Loot,SVK,Longbow,+50,Women,2x30m,80cm,445,Eesti Meistrivõistlused OR 2025
2025-07-20,Ardo Ojamets,PVM,Recurve,Adult,Men,2x70m,122cm,441,Eesti Meistrivõistlused OR 2025
2025-07-20,Kalju Baumann,SVK,Barebow,Adult,Men,2x50m,122cm,422,Eesti Meistrivõistlused OR 2025
2025-07-20,Kersti Baumann,SVK,Barebow,Adult,Women,2x50m,122cm,409,Eesti Meistrivõistlused OR 2025
2025-07-20,Terje Paomets,KSK,Barebow,Adult,Women,2x50m,122cm,394,Eesti Meistrivõistlused OR 2025
2025-07-20,Kain Ilves,VVVK,Barebow,Adult,Men,2x50m,122cm,379,Eesti Meistrivõistlused OR 2025
2025-07-20,Maret Tamme,SAG,Recurve,Adult,Women,2x70m,122cm,362,Eesti Meistrivõistlused OR 2025
2025-07-20,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,350,Eesti Meistrivõistlused OR 2025
2025-07-20,Meeri-Marita Paas,SAG,Compound,Adult,Women,50m,80cm,349,Eesti Meistrivõistlused OR 2025
2025-07-20,Meeri-Marita Paas,SAG,Compound,Adult,Women,50m,80cm,346,Eesti Meistrivõistlused OR 2025
2025-07-20,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,344,Eesti Meistrivõistlused OR 2025
2025-07-20,Caius Kand,TYRI,Compound,Adult,Men,50m,80cm,342,Eesti Meistrivõistlused OR 2025
2025-07-20,Mait Sirel,PVM,Compound,Adult,Men,50m,80cm,337,Eesti Meistrivõistlused OR 2025
2025-07-20,Caius Kand,TYRI,Compound,Adult,Men,50m,80cm,336,Eesti Meistrivõistlused OR 2025
