Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-16,Lovisa Lember,VVVK,Recurve,U13,Women,4x15m,80cm,1384,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Maris Tetsmann,TYRI,Compound,Adult,Women,4x50m,80cm,1374,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Evert Ressar,BH,Compound,Adult,Men,4x50m,80cm,1370,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Mait Sirel,PVM,Compound,Adult,Men,4x50m,80cm,1345,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Gregor Oriehov,SVK,Compound,U18,Men,4x50m,80cm,1312,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Krent Kaasik,TVSK,Recurve,U15,Men,4x30m,80cm,1304,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Raiko Luik,PVM,Recurve,U13,Men,4x15m,80cm,1292,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Rasmus Ellam,JVI,Recurve,U13,Men,4x15m,80cm,1282,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Dagne Oriehov,SVK,Compound,U21,Women,4x50m,80cm,1278,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Emma Kask,TVSK,Recurve,U18,Women,4x60m,122cm,1270,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Marek Pillmaa,PVM,Recurve,U13,Men,4x15m,80cm,1253,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Triinu Lilienthal,JVI,Recurve,Adult,Women,4x70m,122cm,1252,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Liise Kuusk,TYRI,Compound,U21,Women,4x50m,80cm,1217,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Sandra Lõoke,VVVK,Recurve,U15,Women,4x30m,80cm,1189,XV Aksel Randmeri Memoriaal 2025
2025-08-16,Otto Mikkor,VVVK,Recurve,U15,Men,4x30m,80cm,1187,XV Aksel Randmeri Memoriaal 2025
