Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-08-30,Robin Jäätma,TYRI,Compound,Adult,Men,2x50m,80cm,714,Kalevi meistrivõistlused 2025
2025-08-30,Maris Tetsmann,TYRI,Compound,Adult,Men,2x50m,80cm,688,Kalevi meistrivõistlused 2025
2025-08-30,Karoline Kivilo,JVI,Recurve,U15,Men,2x30m,80cm,679,Kalevi meistrivõistlused 2025
2025-08-30,Eliise Kalda,JVI,Recurve,U13,Men,2x15m,80cm,673,Kalevi meistrivõistlused 2025
2025-08-30,Aksel Tähepõld,SAG,Compound,Adult,Men,2x50m,80cm,673,Kalevi meistrivõistlused 2025
2025-08-30,Evert Ressar,BH,Compound,Adult,Men,2x50m,80cm,673,Kalevi meistrivõistlused 2025
2025-08-30,Triinu Lilienthal,JVI,Recurve,Adult,Women,2x70m,122cm,661,Kalevi meistrivõistlused 2025
2025-08-30,Märt Gross,SAG,Recurve,U15,Men,2x30m,80cm,637,Kalevi meistrivõistlused 2025
2025-08-30,Tanel Kaasik,TLVK,Recurve,Adult,Men,2x70m,122cm,627,Kalevi meistrivõistlused 2025
2025-08-30,Eron Mikku,SAG,Compound,U15,Men,2x30m,80cm,619,Kalevi meistrivõistlused 2025
2025-08-30,Krent Kaasik,TVSK,Recurve,U15,Men,2x30m,80cm,615,Kalevi meistrivõistlused 2025
2025-08-30,Priit Tanvel,TLVK,Recurve,Adult,Men,2x70m,122cm,614,Kalevi meistrivõistlused 2025
2025-08-30,Ingrid Ritval,VVVK,Recurve,U18,Men,2x60m,122cm,606,Kalevi meistrivõistlused 2025
2025-08-30,Birgit Metsjõe,VVVK,Recurve,Adult,Women,2x70m,122cm,590,Kalevi meistrivõistlused 2025
2025-08-30,Oskar Tomingas,PVM,Compound,Adult,Men,2x50m,80cm,587,Kalevi meistrivõistlused 2025
2025-08-30,Rasmus Ellam,JVI,Recurve,U13,Men,2x15m,80cm,582,Kalevi meistrivõistlused 2025
2025-08-30,Liise Kuusk,TYRI,Compound,U18,Women,2x50m,80cm,582,Kalevi meistrivõistlused 2025
2025-08-30,Tarvet Labi,VVVK,Recurve,U21,Men,2x70m,122cm,581,Kalevi meistrivõistlused 2025
2025-08-30,Karl Kivilo,JVI,Recurve,Adult,Men,2x70m,122cm,573,Kalevi meistrivõistlused 2025
2025-08-30,Marten Mäger,PVM,Recurve,U18,Men,2x60m,122cm,568,Kalevi meistrivõistlused 2025
2025-08-30,Jaanus Gross,SAG,Recurve,Adult,Men,2x70m,122cm,567,Kalevi meistrivõistlused 2025
2025-08-30,Aivo Agu,JVI,Recurve,Adult,Men,2x70m,122cm,564,Kalevi meistrivõistlused 2025
2025-08-30,Lisete Lepik,VVVK,Recurve,U18,Men,2x60m,122cm,560,Kalevi meistrivõistlused 2025
2025-08-30,Märt Labi,VVVK,Recurve,U18,Men,2x60m,122cm,555,Kalevi meistrivõistlused 2025
2025-08-30,Mariann Miller,VVK,Longbow,U13,Women,2x15m,80cm,550,Kalevi meistrivõistlused 2025
2025-08-30,Jürgen Ellam,JVI,Barebow,U18,Men,2x30m,122cm,536,Kalevi meistrivõistlused 2025
2025-08-30,Mikk Mihkelson,JVI,Recurve,U21,Men,2x70m,122cm,527,Kalevi meistrivõistlused 2025
2025-08-30,Lisette Gold,JVI,Recurve,U21,Men,2x70m,122cm,515,Kalevi meistrivõistlused 2025
2025-08-30,Patrick Järve,VVVK,Recurve,U21,Men,2x70m,122cm,511,Kalevi meistrivõistlused 2025
2025-08-30,Eve Kivilo,JVI,Recurve,+50,Women,2x60m,122cm,493,Kalevi meistrivõistlused 2025
2025-08-30,Andres Sarapuu,VVVK,Recurve,U21,Men,2x70m,122cm,445,Kalevi meistrivõistlused 2025
2025-08-30,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,2x70m,122cm,386,Kalevi meistrivõistlused 2025
2025-08-30,Robin Jäätma,TYRI,Compound,Adult,Men,50m,80cm,359,Kalevi meistrivõistlused 2025
2025-08-30,Robin Jäätma,TYRI,Compound,Adult,Men,50m,80cm,355,Kalevi meistrivõistlused 2025
2025-08-30,Aksel Tähepõld,SAG,Compound,Adult,Men,50m,80cm,346,Kalevi meistrivõistlused 2025
2025-08-30,Maris Tetsmann,TYRI,Compound,Adult,Men,50m,80cm,345,Kalevi meistrivõistlused 2025
2025-08-30,Maris Tetsmann,TYRI,Compound,Adult,Men,50m,80cm,343,Kalevi meistrivõistlused 2025
2025-08-30,Karoline Kivilo,JVI,Recurve,U15,Men,30m,80cm,341,Kalevi meistrivõistlused 2025
2025-08-30,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,341,Kalevi meistrivõistlused 2025
2025-08-30,Karoline Kivilo,JVI,Recurve,U15,Men,30m,80cm,338,Kalevi meistrivõistlused 2025
2025-08-30,Eliise Kalda,JVI,Recurve,U13,Men,15m,80cm,337,Kalevi meistrivõistlused 2025
2025-08-30,Eliise Kalda,JVI,Recurve,U13,Men,15m,80cm,336,Kalevi meistrivõistlused 2025
2025-08-30,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,335,Kalevi meistrivõistlused 2025
2025-08-30,Evert Ressar,BH,Compound,Adult,Men,50m,80cm,332,Kalevi meistrivõistlused 2025
2025-08-30,Aksel Tähepõld,SAG,Compound,Adult,Men,50m,80cm,327,Kalevi meistrivõistlused 2025
2025-08-30,Triinu Lilienthal,JVI,Recurve,Adult,Women,70m,122cm,326,Kalevi meistrivõistlused 2025
2025-08-30,Märt Gross,SAG,Recurve,U15,Men,30m,80cm,320,Kalevi meistrivõistlused 2025
2025-08-30,Tanel Kaasik,TLVK,Recurve,Adult,Men,70m,122cm,318,Kalevi meistrivõistlused 2025
2025-08-30,Märt Gross,SAG,Recurve,U15,Men,30m,80cm,317,Kalevi meistrivõistlused 2025
2025-08-30,Eron Mikku,SAG,Compound,U15,Men,30m,80cm,313,Kalevi meistrivõistlused 2025
2025-08-30,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,311,Kalevi meistrivõistlused 2025
2025-08-30,Tanel Kaasik,TLVK,Recurve,Adult,Men,70m,122cm,309,Kalevi meistrivõistlused 2025
2025-08-30,Ingrid Ritval,VVVK,Recurve,U18,Men,60m,122cm,309,Kalevi meistrivõistlused 2025
2025-08-30,Priit Tanvel,TLVK,Recurve,Adult,Men,70m,122cm,307,Kalevi meistrivõistlused 2025
2025-08-30,Priit Tanvel,TLVK,Recurve,Adult,Men,70m,122cm,307,Kalevi meistrivõistlused 2025
2025-08-30,Eron Matri Mikku,SAG,Compound,U15,Men,30m,80cm,306,Kalevi meistrivõistlused 2025
2025-08-30,Krent Kaasik,TVSK,Recurve,U15,Men,30m,80cm,304,Kalevi meistrivõistlused 2025
2025-08-30,Mariann Eleri Miller,VVK,Longbow,U13,Women,15m,80cm,301,Kalevi meistrivõistlused 2025
2025-08-30,Oskar Tomingas,PVM,Compound,Adult,Men,50m,80cm,299,Kalevi meistrivõistlused 2025
2025-08-30,Birgit Metsjõe,VVVK,Recurve,Adult,Women,70m,122cm,298,Kalevi meistrivõistlused 2025
2025-08-30,Ingrid Annelore Ritval,VVVK,Recurve,U18,Men,60m,122cm,297,Kalevi meistrivõistlused 2025
2025-08-30,Liise Kuusk,TYRI,Compound,U18,Women,50m,80cm,297,Kalevi meistrivõistlused 2025
2025-08-30,Karl Kivilo,JVI,Recurve,Adult,Men,70m,122cm,295,Kalevi meistrivõistlused 2025
2025-08-30,Tarvet Labi,VVVK,Recurve,U21,Men,70m,122cm,295,Kalevi meistrivõistlused 2025
2025-08-30,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,294,Kalevi meistrivõistlused 2025
2025-08-30,Birgit Metsjõe,VVVK,Recurve,Adult,Women,70m,122cm,292,Kalevi meistrivõistlused 2025
2025-08-30,Jaanus Gross,SAG,Recurve,Adult,Men,70m,122cm,290,Kalevi meistrivõistlused 2025
2025-08-30,Marten Mäger,PVM,Recurve,U18,Men,60m,122cm,289,Kalevi meistrivõistlused 2025
2025-08-30,Rasmus Ellam,JVI,Recurve,U13,Men,15m,80cm,288,Kalevi meistrivõistlused 2025
2025-08-30,Oskar Tomingas,PVM,Compound,Adult,Men,50m,80cm,288,Kalevi meistrivõistlused 2025
2025-08-30,Aivo Agu,JVI,Recurve,Adult,Men,70m,122cm,287,Kalevi meistrivõistlused 2025
2025-08-30,Tarvet Labi,VVVK,Recurve,U21,Men,70m,122cm,286,Kalevi meistrivõistlused 2025
2025-08-30,Patrick Järve,VVVK,Recurve,U21,Men,70m,122cm,286,Kalevi meistrivõistlused 2025
2025-08-30,Lisete Laureen Lepik,VVVK,Recurve,U18,Men,60m,122cm,285,Kalevi meistrivõistlused 2025
2025-08-30,Liise Kuusk,TYRI,Compound,U18,Women,50m,80cm,285,Kalevi meistrivõistlused 2025
2025-08-30,Märt Labi,VVVK,Recurve,U18,Men,60m,122cm,280,Kalevi meistrivõistlused 2025
2025-08-30,Marten Mäger,PVM,Recurve,U18,Men,60m,122cm,279,Kalevi meistrivõistlused 2025
2025-08-30,Karl Kivilo,JVI,Recurve,Adult,Men,70m,122cm,278,Kalevi meistrivõistlused 2025
2025-08-30,Jürgen Ellam,JVI,Barebow,U18,Men,30m,122cm,278,Kalevi meistrivõistlused 2025
2025-08-30,Jaanus Gross,SAG,Recurve,Adult,Men,70m,122cm,277,Kalevi meistrivõistlused 2025
2025-08-30,Aivo Agu,JVI,Recurve,Adult,Men,70m,122cm,277,Kalevi meistrivõistlused 2025
2025-08-30,Lisete Lepik,VVVK,Recurve,U18,Men,60m,122cm,275,Kalevi meistrivõistlused 2025
2025-08-30,Märt Labi,VVVK,Recurve,U18,Men,60m,122cm,275,Kalevi meistrivõistlused 2025
2025-08-30,Mikk Mihkelson,JVI,Recurve,U21,Men,70m,122cm,273,Kalevi meistrivõistlused 2025
2025-08-30,Lisette Gold,JVI,Recurve,U21,Men,70m,122cm,258,Kalevi meistrivõistlused 2025
2025-08-30,Jürgen Ellam,JVI,Barebow,U18,Men,30m,122cm,258,Kalevi meistrivõistlused 2025
2025-08-30,Lisette Marie Gold,JVI,Recurve,U21,Men,70m,122cm,257,Kalevi meistrivõistlused 2025
2025-08-30,Mikk Mihkelson,JVI,Recurve,U21,Men,70m,122cm,254,Kalevi meistrivõistlused 2025
2025-08-30,Eve Kivilo,JVI,Recurve,+50,Women,60m,122cm,253,Kalevi meistrivõistlused 2025
2025-08-30,Mariann Miller,VVK,Longbow,U13,Women,15m,80cm,249,Kalevi meistrivõistlused 2025
2025-08-30,Eve Kivilo,JVI,Recurve,+50,Women,60m,122cm,240,Kalevi meistrivõistlused 2025
2025-08-30,Andres Sarapuu,VVVK,Recurve,U21,Men,70m,122cm,226,Kalevi meistrivõistlused 2025
2025-08-30,Patrick Järve,VVVK,Recurve,U21,Men,70m,122cm,225,Kalevi meistrivõistlused 2025
2025-08-30,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,70m,122cm,223,Kalevi meistrivõistlused 2025
2025-08-30,Andres Sarapuu,VVVK,Recurve,U21,Men,70m,122cm,219,Kalevi meistrivõistlused 2025
2025-08-30,Eva-Maria Vinkel,TLVK,Recurve,Adult,Women,70m,122cm,163,Kalevi meistrivõistlused 2025
