Date,Athlete,Club,Bow Type,Age Class,Gender,Distance,Face,Result,Competition
2025-09-06,Aivar Pruuli,BH,Compound,Adult,Men,1x90m+1x70m+1x50m+1x30m,80cm,1317,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Mait Sirel,PVM,Compound,Adult,Men,1x90m+1x70m+1x50m+1x30m,80cm,1314,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Emma Kask,TVSK,Recurve,Adult,Women,1x70m+1x60m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1271,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Martin Rist,VVVK,Recurve,Adult,Men,1x90m+1x70m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1240,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Tanel Kaasik,TLVK,Recurve,+50,Men,1x70m+1x60m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1236,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Priit Tanvel,TLVK,Recurve,Adult,Men,1x90m+1x70m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1216,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Birgit Metsjõe,VVVK,Recurve,Adult,Women,1x70m+1x60m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1211,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Taavo Allik,VVVK,Recurve,Adult,Men,1x90m+1x70m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1205,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Eve Kivilo,JVI,Recurve,+60,Women,1x60m+1x50m+1x40m+1x30m,122cm + 122cm + 80cm + 80cm,1191,Eesti Meistrivõistlused 2025 harjutuses 1440
2025-09-06,Ingrid Ritval,VVVK,Recurve,Adult,Women,1x70m+1x60m+1x50m+1x30m,122cm + 122cm + 80cm + 80cm,1190,Eesti Meistrivõistlused 2025 harjutuses 1440
